folder,collection_item_id,instance_id,release_id,artist,title,year,country,label,catno,genre,style,format,img,img_full
Personal,7972850,2105947555,7972850,10cc,How Dare You!,1976,US,Mercury,SRM-1-1061,Rock,Art Rock,"Vinyl, LP, Album, Stereo",images/thumbs/580d6db6b265309d.jpeg,images/580d6db6b265309d.jpeg
Personal,3723094,2105940308,3723094,Adolph von Henselt,Henselt,1969,US,Candide,CE 31011,Classical,Romantic,"Vinyl, LP, Album",images/thumbs/b252981c1aad9c4a.jpeg,images/b252981c1aad9c4a.jpeg
Personal,2270544,2110806835,2270544,Ahmad Jamal,One,1978,US,20th Century Fox Records,T-555,Jazz,Contemporary Jazz,"Vinyl, LP, Album",images/thumbs/3db85301cac37228.jpeg,images/3db85301cac37228.jpeg
Personal,11711340,2107836538,11711340,Al Di Meola,Land Of The Midnight Sun,1976,US,Columbia,PC 34074,Jazz,Fusion,"Vinyl, LP, Album",images/thumbs/744234dbc5625eab.jpeg,images/744234dbc5625eab.jpeg
Personal,8823751,2109816536,8823751,Al Jarreau,This Time,1980,US,Warner Bros. Records,BSK 3434,Jazz,Smooth Jazz,"Vinyl, LP, Album",images/thumbs/3d059727d288e7b8.jpeg,images/3d059727d288e7b8.jpeg
Personal,19248259,2091307407,19248259,Al Stewart,Time Passages,1978,US,Arista,AB-4190,Rock,Folk Rock,"Vinyl, LP, Album",images/thumbs/b5a83f2298a8d417.jpeg,images/b5a83f2298a8d417.jpeg
Personal,4911086,2089487265,4911086,Al Stewart,Year Of The Cat,1976,US,Janus Records,JXS-7022,Rock,Pop Rock,"Vinyl, LP, Album, Promo",images/thumbs/3bbd35256d025344.jpeg,images/3bbd35256d025344.jpeg
Personal,4911086,2096299206,4911086,Al Stewart,Year Of The Cat,1976,US,Janus Records,JXS-7022,Rock,Pop Rock,"Vinyl, LP, Album, Promo",images/thumbs/3bbd35256d025344.jpeg,images/3bbd35256d025344.jpeg
Personal,209358,2090226721,209358,The Alan Parsons Project,I Robot,1977,US,Arista,AL 7002,Rock,Prog Rock,"Vinyl, LP, Album",images/thumbs/9b6780dd8527fd42.jpeg,images/9b6780dd8527fd42.jpeg
Personal,209358,2090226731,209358,The Alan Parsons Project,I Robot,1977,US,Arista,AL 7002,Rock,Prog Rock,"Vinyl, LP, Album",images/thumbs/9b6780dd8527fd42.jpeg,images/9b6780dd8527fd42.jpeg
Personal,3926688,2110296504,3926688,All Sports Band,All Sports Band,1981,US,Radio Records (5),RR 19321,Rock,,"Vinyl, LP",images/thumbs/a22a18fc00c32d8b.jpeg,images/a22a18fc00c32d8b.jpeg
Personal,1173751,2109817774,1173751,The Allman Brothers Band,The Road Goes On Forever,1975,US,Capricorn Records,2CP 0164,Rock,Blues Rock,"2x, Vinyl, LP, Compilation",images/thumbs/bec2158dcaeb2c15.jpeg,images/bec2158dcaeb2c15.jpeg
Personal,1709167,2105948540,1709167,The Allman Brothers Band,"Wipe The Windows, Check The Oil, Dollar Gas",1976,US,Capricorn Records,2CX0177,Rock,Southern Rock,"2x, Vinyl, LP, Album",images/thumbs/49ef6db19dddb438.jpeg,images/49ef6db19dddb438.jpeg
Personal,2489851,2109807875,2489851,Alvin Lee,Pump Iron!,1975,US,Columbia,PC 33796,Rock,Classic Rock,"Vinyl, LP, Album",images/thumbs/a997669d7e76404d.jpeg,images/a997669d7e76404d.jpeg
Personal,2030679,2097242849,2030679,Ambrosia (2),Ambrosia,1975,US,20th Century Records,T-434,Rock,Art Rock,"Vinyl, LP, Album",images/thumbs/61198bb508cec3f3.jpeg,images/61198bb508cec3f3.jpeg
Personal,1173758,2107834984,1173758,Ambrosia (2),Life Beyond L.A.,1978,US,Warner Bros. Records,BSK 3135,Rock,Pop Rock,"Vinyl, LP, Album, Stereo",images/thumbs/4dcdfeb79cd568d9.jpeg,images/4dcdfeb79cd568d9.jpeg
Personal,15111951,2089487273,15111951,America (2),America,1971,US,Warner Bros. Records,BS 2576,Rock,Soft Rock,"Vinyl, LP, Album, Repress, Stereo",images/thumbs/30ec0dbc4915ad87.jpeg,images/30ec0dbc4915ad87.jpeg
Personal,11885533,2109813862,11885533,America (2),Harbor,1977,US,Warner Bros. Records,BSK 3017,Rock,Soft Rock,"Vinyl, LP, Album",images/thumbs/663c908b443669b9.jpeg,images/663c908b443669b9.jpeg
Personal,13981135,2105963327,13981135,America (2),Hearts,1975,US,Warner Bros. Records,BS2852,Rock,Rock & Roll,"Vinyl, LP",images/thumbs/ff19376016d9b9a6.jpeg,images/ff19376016d9b9a6.jpeg
Personal,15977772,2089487280,15977772,America (2),Holiday,1974,US,Warner Bros. Records,W 2808,Rock,Soft Rock,"Vinyl, LP, Album",images/thumbs/0dab13a13c2fb50b.jpeg,images/0dab13a13c2fb50b.jpeg
Personal,12084550,2109813022,12084550,America (2),Holiday,1974,US,Warner Bros. Records,W 2808,Rock,Folk Rock,"Vinyl, LP, Album",images/thumbs/b6ba6b41dcf702d1.jpeg,images/b6ba6b41dcf702d1.jpeg
Personal,5084047,2105971503,5084047,America (2),Homecoming,1972,US,Warner Bros. Records,BS 2655,Rock,Folk Rock,"Vinyl, LP, Album, Promo",images/thumbs/6351962957d1b17b.jpeg,images/6351962957d1b17b.jpeg
Personal,11072628,2107834196,11072628,Ananta,Night And Daydream,1978,US,Touchstone Sound Recordings,BBT 112T,Rock,Prog Rock,"Vinyl, LP, Album, Promo",images/thumbs/735afe71a70690b8.jpeg,images/735afe71a70690b8.jpeg
Personal,8156935,2107978016,8156935,André Kostelanetz,Wonderland Of Opera,1963,US,Columbia,CS 8795,Classical,,"Vinyl, LP, Album, Stereo",images/thumbs/6fb1c1db433e8135.jpeg,images/6fb1c1db433e8135.jpeg
Personal,23518835,2103153386,23518835,Andrew Lloyd Webber,Cats: Selections From The Original Broadway Cast Recording,1983,US,Geffen Records,GHS 2026,Stage & Screen,Musical,"Vinyl, LP",images/thumbs/0e6efbcd62bf62cf.jpeg,images/0e6efbcd62bf62cf.jpeg
Personal,14853735,2089487688,14853735,The Animals,The Animals,1964,US,MGM Records,SE 4264,Rock,Classic Rock,"Vinyl, LP, Album, Stereo",images/thumbs/2be57a963b6b5db6.jpeg,images/2be57a963b6b5db6.jpeg
Personal,10840767,2107837777,10840767,April Wine,First Glance,1978,US,Capitol Records,SW-11852,Rock,Blues Rock,"Vinyl, LP, Album",images/thumbs/10af6d2823e54cf0.jpeg,images/10af6d2823e54cf0.jpeg
Personal,2928836,2089980485,2928836,Aretha Franklin,Aretha's Gold,1969,US,Atlantic,SD 8227,Funk / Soul,Soul,"Vinyl, LP, Album, Compilation, Reissue, Stereo",images/thumbs/8d9953459e7469b1.jpeg,images/8d9953459e7469b1.jpeg
Personal,12364439,2107842584,12364439,Argent,All Together Now,1972,US,Epic,KE 31556,Rock,Psychedelic Rock,"Vinyl, LP, Album, Stereo",images/thumbs/31efda22cc54c8b5.jpeg,images/31efda22cc54c8b5.jpeg
Personal,7107666,2109809320,7107666,Argent,Nexus,1974,US,Epic,KE 32573,Rock,Prog Rock,"Vinyl, LP, Album, Stereo",images/thumbs/c6e59b86283b6c15.jpeg,images/c6e59b86283b6c15.jpeg
Personal,14726707,2089487286,14726707,Arlo Guthrie,Alice's Restaurant,1976,US,Reprise Records,6267,Rock,Folk Rock,"Vinyl, LP, Album, Reissue, Stereo",images/thumbs/0cc1dbf6dbcefee3.jpeg,images/0cc1dbf6dbcefee3.jpeg
Personal,3089945,2089996316,3089945,Arlo Guthrie,Power Of Love,1981,US,Warner Bros. Records,BSK 3558,Blues,Country,"Vinyl, LP, Album",images/thumbs/b2f6e30d025af43e.jpeg,images/b2f6e30d025af43e.jpeg
Personal,1623917,2089994410,1623917,Arlo Guthrie,Running Down The Road,1969,US,Reprise Records,RS 6346,Rock,Folk Rock,"Vinyl, LP, Album",images/thumbs/daf8cde0203b809b.jpeg,images/daf8cde0203b809b.jpeg
Personal,14572110,2089298934,14572110,Arlo Guthrie,One Night,1978,US,Warner Bros. Records,BSK 3232,"Folk, World, & Country",Folk,"Vinyl, LP, Album, Stereo",images/thumbs/75e79a66de7da874.jpeg,images/75e79a66de7da874.jpeg
Personal,5300327,2109810906,5300327,Arnold Schoenberg,"Opus 4 - Verklärte Nacht / Opus 45 - Trio For Violin,Viola And Cello",1982,US,Nonesuch,D-79028,Classical,Modern,"Vinyl, LP, Stereo",images/thumbs/aea50f97242fac4a.jpeg,images/aea50f97242fac4a.jpeg
Personal,10707902,2107976012,10707902,Arthur Rubinstein,Chopin Waltzes,1964,US,RCA Victor Red Seal,LSC-2726,Classical,Romantic,"Vinyl, LP, Stereo",images/thumbs/27fd0d74832f43a8.jpeg,images/27fd0d74832f43a8.jpeg
Personal,5881690,2089488563,5881690,Asia (2),Asia,1982,US,Geffen Records,GHS 2008,Rock,Pop Rock,"Vinyl, LP, Album",images/thumbs/2aab541f7ce67b88.jpeg,images/2aab541f7ce67b88.jpeg
Personal,8001899,2089487292,8001899,Atlanta Rhythm Section,A Rock And Roll Alternative,1976,US,Polydor,PD-1-6080,Rock,Southern Rock,"Vinyl, LP, Album",images/thumbs/c14f31ebfce6cf06.jpeg,images/c14f31ebfce6cf06.jpeg
Personal,2319933,2097241500,2319933,Average White Band,AWB,1974,US,Atlantic,SD 7308,Funk / Soul,Funk,"Vinyl, LP, Album",images/thumbs/026ad351b2fa3aab.jpeg,images/026ad351b2fa3aab.jpeg
Personal,2584460,2091308777,2584460,Average White Band,Soul Searching,1976,US,Atlantic,SD 18179,Jazz,Smooth Jazz,"Vinyl, LP, Album",images/thumbs/3dfd4c2711edf3c1.jpeg,images/3dfd4c2711edf3c1.jpeg
Personal,2958916,2107841615,2958916,Baby (7),Where Did All The Money Go?,1976,US,Chelsea Records,CHL 517,Rock,Southern Rock,"Vinyl, LP",images/thumbs/199c5c79f60c4905.jpeg,images/199c5c79f60c4905.jpeg
Personal,1444223,2105955763,1444223,Bachman-Turner Overdrive,Best Of B.T.O. (So Far),1976,US,Mercury,SRM-1-1101,Rock,Classic Rock,"Vinyl, LP, Compilation",images/thumbs/de11ed87fa13edaf.jpeg,images/de11ed87fa13edaf.jpeg
Personal,1458503,2091307707,1458503,Bachman-Turner Overdrive,Four Wheel Drive,1975,US,Mercury,SRM-1-1027,Rock,Hard Rock,"Vinyl, LP, Album",images/thumbs/05904f97121a852a.jpeg,images/05904f97121a852a.jpeg
Personal,21184210,2107840480,21184210,Bachman-Turner Overdrive,Head On,1975,US,Mercury,SRM-1-1067,Rock,Southern Rock,"Vinyl, LP, Album, Club Edition",images/thumbs/48a4fc4cf4a37c8c.jpeg,images/48a4fc4cf4a37c8c.jpeg
Personal,1626427,2090226852,1626427,Bachman-Turner Overdrive,Not Fragile,1974,US,Mercury,SRM-1-1004,Rock,Classic Rock,"Vinyl, LP, Album, Stereo",images/thumbs/cc5359e74f536fb1.jpeg,images/cc5359e74f536fb1.jpeg
Personal,7111470,2107836491,7111470,Badfinger,Ass,1973,US,Apple Records,SW-3411,Rock,Pop Rock,"Vinyl, LP, Album, Stereo",images/thumbs/86a9ed9d47da2bff.jpeg,images/86a9ed9d47da2bff.jpeg
Personal,4683521,2089487695,4683521,The Band,Rock Of Ages (The Band In Concert),1975,US,Capitol Records,SABB-11045,Rock,Folk Rock,"2x, Vinyl, LP, Album, Reissue, Repress, Stereo",images/thumbs/a13af7d4168fa884.jpeg,images/a13af7d4168fa884.jpeg
Personal,6377389,2109816844,6377389,The Band,The Band,1969,US,Capitol Records,STAO-132,Rock,Folk Rock,"Vinyl, LP, Album",images/thumbs/1a9b80e6f0246a64.jpeg,images/1a9b80e6f0246a64.jpeg
